id,brand_name,generic_name,purpose
ca7bbcc8-2354-375c-e053-2995a90a72a0,SILICEA,SILICEA,"USES USES: Temporary Relief - Acne, Boils* * Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated."
f229e866-5775-4e42-a316-8480dd92fec6,,,Purpose Sunscreen
b8f5797b-73e1-4201-b824-2cdd50c90497,Betadine,POVIDONE-IODINE,Purpose First aid Antiseptic
01f4b0f6-94df-fd91-e063-6394a90a7997,,,USES To relieve the symptoms of itching.
f8ce57b8-ebf7-4dc1-96ec-c8fbc41c17ff,,,
ddf6e846-ebd0-4ed4-b151-914c4e39990e,Naproxen,NAPROXEN,
48ec3789-57c6-4834-8a4b-09ae4cb2eb38,,,Purpose Antiseptic
316a46f1-2d51-7684-e063-6294a90a2ef8,Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Purpose Antibacterial
d08e6fbf-9162-47cd-9cf6-74ea24d48214,,,"Uses: For the management of acne helps clear up acne blemishes, black heads, helps prevent the development of new acne pimples penetrates pores to reduce the number of acne pimples, white heads and black heads help keep skin clear of new acne pimples, white heads and black heads helps prevent new acne pimples, white heads and black heads from forming help prevent the development of new pimples, white heads and black heads"
66a9f5f2-42e8-4500-a1f4-d4eb4e86758b,,,Purpose-Nasal Decongestant
37ca6147-b550-4266-e063-6294a90aec10,Quick Action,SALICYLIC ACID,Purpose Acne medication
12da355e-ceac-7ce3-e063-6394a90a86f1,Cuprum aceticum Nicotiana,CUPRUM ACETICUM NICOTIANA,Use: Temporary relief of cough.
e9679840-8535-4325-b69e-0a5997c9fbb0,Mekinist,TRAMETINIB,
29c0c23b-f87d-4a94-a411-4091f399ecd1,,,
26cca05b-82f8-e191-e063-6394a90a56bd,Glimepiride,GLIMEPIRIDE,
528f5a4e-274b-5b3c-e054-00144ff8d46c,,,
948f25be-b1ae-4bc9-9272-9f0af5bb3196,Methocarbamol,METHOCARBAMOL,
a43439f4-6959-43c6-95a0-44fcdb62acea,anti itch,HYDROCORTISONE,Purpose Anti-itch
b12c988d-27b2-4548-83c0-a6837ada2db3,NP Thyroid 120,"LEVOTHYROXINE, LIOTHYRONINE",
0004a0bb-87c0-46f8-b36a-95c98107395d,Varenicline,VARENICLINE,
eec625ed-404f-6a13-e053-2a95a90aaf0d,,,Purposes Antiseptic Antiseptic
bdafad45-6825-4cf2-bb9a-a2ff6ad2e581,,,Purpose Pain reliever/fever reducer
7a9c455d-8060-4269-a866-18018e722d24,Rescue Sleep,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER",Active ingredients Each 5X (HPUS) Purpose White Chestnut (Aesculus hippocastanum) Relief from repetitive thoughts Rock Rose (Helianthemum nummularium) Courage and presence of mind Clematis (Clematis vitalba) Focus when ungrounded Impatiens (Impatiens glandulifera) Patience with problems and people Cherry Plum (Prunus cerasifera) Balanced mind when losing control Star of Bethlehem (Ornithogalum umbellatum) Softens impact of shock
e60df013-dc7f-4bec-b420-cd94fc77b286,Pain Reliever Extra Strength,ACETAMINOPHEN,Purpose Pain reliever/fever reducer
30db70ac-df32-0f98-e054-00144ff88e88,,,PURPOSE Sunscreen
e4e38e4a-1007-425c-9710-1a3c508f56fd,,,Purpose Topical analgesic
e5a90643-3f0e-45a2-a9a4-65229c38d6ab,,,
ea2c6a04-be1d-463f-bc67-851da43b87b5,,,Purposes Cough suppressant Expectorant Nasal decongestant
5bc358cb-c2f9-49c7-a1db-5bec3e65ef5c,OASIS Tears Lubricant Eye,GLYCERIN,Purpose lubricant Eye Drops
c3d96073-8a40-a58c-21f4-2bf4bfad9887,,,
367959d4-ed23-43ed-bac8-f7c6d606dc55,,,
7c5b3625-4922-4296-b34b-5336b0ca2099,,,
2f0c45da-c4f2-bd12-e063-6394a90aba99,Thera Plus Maximum Strength Feminine Anti-Itch,"BENZOCAINE, RESORCINOL",Purpose External Analgesic
b6c190d1-aab6-6fdc-e053-2a95a90abf85,,,OTC - PURPOSE SECTION Cell Salt; Hemorrhoids; Keloids; Migraine; Nervousness; Constipation before and during menses.
40d0b087-3987-213c-e054-00144ff8d46c,,,
cb92989a-98b5-46d3-82e8-cbedde97d667,,,
3d6a40a1-b103-4636-b143-6119ff16803a,,,
0d26bd16-503b-49f5-a459-f48483d021b5,,,Purpose Antimicrobial
c68be39d-f1c6-80a2-e053-2a95a90a61b5,,,Use: Temporary relief of headache.
89aa506d-64d5-4c44-8ef1-0f3a2d3ca183,,,"Reduces occasional pain, pressure and inflammation from sciatica"
2e70f4b3-7b97-af33-e063-6294a90a1186,"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,Purpose Antiperspirant
3fb723a8-70e1-d700-e063-6294a90a53c5,Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,
74b7d044-ac52-4d7c-bf85-9a52283357c6,,,purpose Antiseptic
c9efb85c-6792-4afb-b727-7ff82539cace,,,
0b30c8ca-933b-ffb0-e063-6294a90a7376,Lights Povindone Iodine Scrub,POVIDONE-IODINE,Purpose: Antiseptic
7749772b-1a26-4b2e-b97d-3ee29611d035,Calcium Acetate,CALCIUM ACETATE,
58f9e9f6-9960-4e9f-a606-695ea04abffb,,,PURPOSE Purpose: Humectant
a53a65a4-d0b9-4459-98ac-82c22cd279ce,,,Uses: To help alleviate the symptoms of grief.
9e770f5d-cbc0-4eb9-8093-cbf96900693a,,,"PURPOSE dry scaly skin dry and cracked skin, body rash itching and redness intense itching behind the ears, redness, dry and cracked skin itching dry skin and itching itching rash"
78d1333a-e123-42ce-9ef2-b4af47e97212,,,
